replicate,p1_mean,p2_mean,h_mean,p1_sd,p2_sd,h_sd,p1_cv,p2_cv,h_cv,linkage,gene_action,p1_af,p2_af,esize,ss,ns
16,0.895,0.113,0.524,0.0744023809142845,0.0774662533504962,0.0730110419381751,0.0831311518595357,0.685542065048639,0.139334049500334,unlinked,additive,0.9,0.1,esize0.1,noss,nons
17,0.902,0.097,0.497,0.0605754715631834,0.0617846820723026,0.0499080787701812,0.0671568420877865,0.63695548528147,0.100418669557709,unlinked,additive,0.9,0.1,esize0.1,noss,nons
18,0.89,0.086,0.489,0.0892142571199771,0.0606428150765461,0.0771230133207558,0.100240738337053,0.705149012517977,0.157715773662077,unlinked,additive,0.9,0.1,esize0.1,noss,nons
19,0.909,0.104,0.521,0.0550417281408814,0.0727309832077592,0.0714928282402922,0.0605519561505846,0.699336376997684,0.137222319079256,unlinked,additive,0.9,0.1,esize0.1,noss,nons
20,0.904,0.104,0.491,0.052333311668612,0.0637597531554897,0.0636396103067893,0.0578908314918274,0.613074549572016,0.129612240950691,unlinked,additive,0.9,0.1,esize0.1,noss,nons
21,0.891,0.092,0.494,0.0667694785460102,0.0702473763036814,0.0651841974088562,0.0749376863591585,0.763558438083494,0.131951816617118,unlinked,additive,0.9,0.1,esize0.1,noss,nons
22,0.917,0.108,0.509,0.0602799591024061,0.060911444586651,0.0773871792366415,0.0657360513657646,0.563994857283805,0.152037680229158,unlinked,additive,0.9,0.1,esize0.1,noss,nons
23,0.911,0.099,0.492,0.064118831007715,0.0710633520177595,0.0702473763036814,0.0703829099974918,0.717811636543025,0.142779220129434,unlinked,additive,0.9,0.1,esize0.1,noss,nons
24,0.908,0.083,0.498,0.0716852530873964,0.046958514039696,0.0597272713153339,0.0789485166160754,0.565765229393928,0.119934279749667,unlinked,additive,0.9,0.1,esize0.1,noss,nons
25,0.883,0.086,0.488,0.0635754412858761,0.0631163486696415,0.0759699188589048,0.0719993672546728,0.733911031042343,0.155676063235461,unlinked,additive,0.9,0.1,esize0.1,noss,nons
26,0.901,0.095,0.501,0.0658461410085229,0.0573656371578893,0.057578695039476,0.0730811775899255,0.603848812188309,0.114927535008934,unlinked,additive,0.9,0.1,esize0.1,noss,nons
27,0.915,0.088,0.492,0.0591176619901673,0.0718274576570088,0.065745334280022,0.0646094666559205,0.816221109738736,0.133628728211427,unlinked,additive,0.9,0.1,esize0.1,noss,nons
28,0.888,0.098,0.495,0.0732343178170074,0.0728151139278552,0.0632858755238191,0.0824710786227561,0.743011366610767,0.127850253583473,unlinked,additive,0.9,0.1,esize0.1,noss,nons
29,0.921,0.094,0.513,0.064752275194445,0.0766918030369688,0.0761376304826346,0.070306487724696,0.815870245074137,0.148416433689346,unlinked,additive,0.9,0.1,esize0.1,noss,nons
30,0.894,0.108,0.515,0.0682432623571211,0.0737895518293998,0.0640869944461656,0.0763347453659072,0.683236591012961,0.124440765914885,unlinked,additive,0.9,0.1,esize0.1,noss,nons
31,0.916,0.109,0.517,0.065807387464463,0.0786947084806669,0.0704287163139628,0.0718421260529072,0.721969802574925,0.136225756893545,unlinked,additive,0.9,0.1,esize0.1,noss,nons
32,0.907,0.105,0.521,0.0670135533047652,0.0790569415042095,0.0808690046826802,0.0738848437759264,0.752923252421043,0.155218818968676,unlinked,additive,0.9,0.1,esize0.1,noss,nons
33,0.899,0.102,0.506,0.0642777772878094,0.0713999942834274,0.062792174216674,0.0714991960932251,0.699999943955171,0.124095205961806,unlinked,additive,0.9,0.1,esize0.1,noss,nons
34,0.883,0.101,0.505,0.0651607118388599,0.0792116771437038,0.0828386678910229,0.0737946906442355,0.78427403112578,0.164036966120837,unlinked,additive,0.9,0.1,esize0.1,noss,nons
35,0.897,0.09,0.492,0.064214245987593,0.0721393209883006,0.0649646685765833,0.071587788169,0.801548010981117,0.132042009301999,unlinked,additive,0.9,0.1,esize0.1,noss,nons
36,0.9,0.1,0.506,0.0677630927178938,0.0494871659305393,0.062792174216674,0.0752923252421043,0.494871659305393,0.124095205961806,unlinked,additive,0.9,0.1,esize0.1,noss,nons
37,0.909,0.115,0.492,0.0667694785460102,0.0716069201991551,0.0556593135393662,0.073453771777789,0.622668871297001,0.113128686055622,unlinked,additive,0.9,0.1,esize0.1,noss,nons
38,0.905,0.094,0.511,0.0608192370211657,0.0585888475840282,0.0649096703590648,0.0672035768189676,0.623285612596045,0.127024795223219,unlinked,additive,0.9,0.1,esize0.1,noss,nons
39,0.896,0.11,0.494,0.0604743156814763,0.0775912892228587,0.0568205194324324,0.0674936558945048,0.705375356571443,0.115021294397636,unlinked,additive,0.9,0.1,esize0.1,noss,nons
40,0.894,0.095,0.508,0.0746693391164113,0.0591176619901673,0.065745334280022,0.0835227506894981,0.622291178843867,0.129419949370122,unlinked,additive,0.9,0.1,esize0.1,noss,nons
41,0.896,0.103,0.496,0.0661167798023208,0.0566136206298125,0.0621387519169473,0.0737910488865187,0.549646802231189,0.125279741768039,unlinked,additive,0.9,0.1,esize0.1,noss,nons
42,0.903,0.086,0.491,0.0751936276066866,0.059795570104161,0.0550417281408814,0.0832709054337614,0.69529732679257,0.112101279309331,unlinked,additive,0.9,0.1,esize0.1,noss,nons
43,0.891,0.097,0.484,0.0740173724781651,0.058388215193388,0.0688387645894672,0.0830722474502414,0.601940362818433,0.142228852457577,unlinked,additive,0.9,0.1,esize0.1,noss,nons
44,0.917,0.095,0.511,0.061120489900804,0.0648782218735177,0.0633181148919437,0.0666526607424253,0.682928651300186,0.123910205267992,unlinked,additive,0.9,0.1,esize0.1,noss,nons
45,0.915,0.082,0.508,0.066432411563351,0.062073031378287,0.0565685424949238,0.0726037284845366,0.756988187540085,0.111355398612055,unlinked,additive,0.9,0.1,esize0.1,noss,nons
46,0.893,0.097,0.503,0.0670135533047652,0.0626050138176012,0.0538421729858364,0.0750431727936901,0.645412513583518,0.107042093411206,unlinked,additive,0.9,0.1,esize0.1,noss,nons
47,0.903,0.097,0.499,0.0634147346555086,0.0772023580056507,0.0752478896578448,0.0702267271932543,0.795900597996399,0.150797374063817,unlinked,additive,0.9,0.1,esize0.1,noss,nons
48,0.891,0.118,0.524,0.0799808650585263,0.0726748419541537,0.0784024156229271,0.0897652806493,0.615888491136896,0.149622930578105,unlinked,additive,0.9,0.1,esize0.1,noss,nons
49,0.898,0.093,0.484,0.05886685079439,0.0630920933627817,0.0584144237150311,0.0655532859625724,0.678409606051416,0.120690958088907,unlinked,additive,0.9,0.1,esize0.1,noss,nons
50,0.905,0.095,0.499,0.0536903442084747,0.0555583899503716,0.0634790661299825,0.0593263471916847,0.584825157372333,0.127212557374714,unlinked,additive,0.9,0.1,esize0.1,noss,nons
51,0.905,0.113,0.509,0.0671960275793813,0.0653171227980247,0.065223321232923,0.0742497542313606,0.57802763538075,0.128140120300438,unlinked,additive,0.9,0.1,esize0.1,noss,nons
52,0.893,0.095,0.502,0.0742376217951243,0.0616524160772574,0.0677329690921697,0.0831328351569141,0.648972800813236,0.134926233251334,unlinked,additive,0.9,0.1,esize0.1,noss,nons
53,0.899,0.085,0.507,0.0738793832222909,0.0591176619901673,0.0614534833206784,0.0821795141516028,0.695501905766674,0.121210026273527,unlinked,additive,0.9,0.1,esize0.1,noss,nons
54,0.896,0.105,0.492,0.0596246764420263,0.0757614408414158,0.0687794463840613,0.0665453978147615,0.721537531823008,0.139795622731832,unlinked,additive,0.9,0.1,esize0.1,noss,nons
55,0.919,0.108,0.501,0.0645944965116366,0.065745334280022,0.0724850441998421,0.0702878090442183,0.608753095185389,0.144680726945793,unlinked,additive,0.9,0.1,esize0.1,noss,nons
56,0.902,0.09,0.501,0.0534140545595426,0.0606091526731326,0.065066684788667,0.0592173553875195,0.673435029701474,0.129873622332669,unlinked,additive,0.9,0.1,esize0.1,noss,nons
57,0.898,0.103,0.504,0.0755658923167897,0.0592555861484461,0.0569998209807429,0.0841491005754896,0.575296952897535,0.113094882898299,unlinked,additive,0.9,0.1,esize0.1,noss,nons
58,0.897,0.098,0.512,0.0499080787701812,0.0684820846526108,0.0718274576570088,0.0556388838017628,0.698796782169498,0.140288003236345,unlinked,additive,0.9,0.1,esize0.1,noss,nons
59,0.912,0.104,0.517,0.0610787380755198,0.0720260723768888,0.0602799591024061,0.0669723005214033,0.692558388239315,0.116595665575254,unlinked,additive,0.9,0.1,esize0.1,noss,nons
60,0.916,0.105,0.522,0.060978417058323,0.0764319091394025,0.0776964265193551,0.0665703242994792,0.727922944184786,0.148843728964282,unlinked,additive,0.9,0.1,esize0.1,noss,nons
61,0.896,0.088,0.487,0.0637597531554897,0.0711135912265922,0.0578615518602247,0.071160438789609,0.808108991211275,0.118812221478901,unlinked,additive,0.9,0.1,esize0.1,noss,nons
62,0.901,0.104,0.508,0.065066684788667,0.0653405521487387,0.0702473763036814,0.0722160763470222,0.628274539891718,0.138282236818271,unlinked,additive,0.9,0.1,esize0.1,noss,nons
63,0.891,0.094,0.505,0.0740173724781651,0.0667312612235809,0.0671960275793814,0.0830722474502414,0.709907034293414,0.13306144075125,unlinked,additive,0.9,0.1,esize0.1,noss,nons
64,0.881,0.107,0.478,0.0794689003475509,0.0544077575501201,0.0708260300356602,0.0902030650937014,0.508483715421683,0.148171610953264,unlinked,additive,0.9,0.1,esize0.1,noss,nons
65,0.928,0.097,0.506,0.0572855361593241,0.073824115301167,0.0531075151298317,0.0617301036199613,0.761073353620278,0.104955563497691,unlinked,additive,0.9,0.1,esize0.1,noss,nons
66,0.899,0.104,0.521,0.0634790661299825,0.0637597531554897,0.0655354709999377,0.070610752091193,0.613074549572016,0.125787852207174,unlinked,additive,0.9,0.1,esize0.1,noss,nons
67,0.897,0.107,0.515,0.071720830663207,0.0646892099005006,0.0744023809142845,0.0799563329578673,0.604572055144865,0.144470642552009,unlinked,additive,0.9,0.1,esize0.1,noss,nons
68,0.918,0.101,0.508,0.0644917333731184,0.0584580784731718,0.0649646685765833,0.0702524328683206,0.578792856170018,0.127883205859416,unlinked,additive,0.9,0.1,esize0.1,noss,nons
69,0.917,0.093,0.527,0.0619496174487044,0.0606175700265061,0.06484675813652,0.0675568347314115,0.651801828242001,0.123048876919393,unlinked,additive,0.9,0.1,esize0.1,noss,nons
70,0.899,0.084,0.491,0.0566856710829328,0.0724498419034627,0.0620154687747093,0.0630541391356316,0.862498117898365,0.126304417056434,unlinked,additive,0.9,0.1,esize0.1,noss,nons
71,0.889,0.09,0.502,0.0616855091639546,0.0606091526731326,0.0654341856605645,0.0693875243689028,0.673435029701474,0.130346983387579,unlinked,additive,0.9,0.1,esize0.1,noss,nons
72,0.879,0.104,0.497,0.0693188433314948,0.0691345921860735,0.0617846820723026,0.0788610276808815,0.664755694096861,0.124315255678677,unlinked,additive,0.9,0.1,esize0.1,noss,nons
73,0.889,0.099,0.483,0.0716354147964624,0.0566856710829328,0.0697005255741026,0.0805797691748733,0.572582536191241,0.144307506364602,unlinked,additive,0.9,0.1,esize0.1,noss,nons
74,0.91,0.106,0.512,0.0543983793275993,0.0704504457482169,0.0718274576570088,0.0597784388215377,0.664626846681291,0.140288003236345,unlinked,additive,0.9,0.1,esize0.1,noss,nons
75,0.905,0.107,0.499,0.0679510628230016,0.0755996436661508,0.0529632140340475,0.0750840473182338,0.706538725851877,0.106138705479053,unlinked,additive,0.9,0.1,esize0.1,noss,nons
76,0.903,0.107,0.507,0.064214245987593,0.078252599878567,0.0714357139286071,0.0711121218024286,0.731332709145486,0.140898844040645,unlinked,additive,0.9,0.1,esize0.1,noss,nons
77,0.894,0.091,0.475,0.0697224819537853,0.0603476323868126,0.0640869944461656,0.0779893534158672,0.663160795459479,0.134919988307717,unlinked,additive,0.9,0.1,esize0.1,noss,nons
78,0.906,0.098,0.508,0.0725905486623571,0.0614119578862991,0.0565685424949238,0.0801220183911227,0.626652631492848,0.111355398612055,unlinked,additive,0.9,0.1,esize0.1,noss,nons
79,0.897,0.106,0.491,0.0601104425713407,0.0760236268322861,0.0675292831417057,0.067012756489789,0.71720402671968,0.137534181551335,unlinked,additive,0.9,0.1,esize0.1,noss,nons
80,0.896,0.107,0.519,0.0569998209807429,0.0755996436661508,0.0755186150858833,0.0636158716302934,0.706538725851877,0.145507928874534,unlinked,additive,0.9,0.1,esize0.1,noss,nons
81,0.897,0.097,0.508,0.0688165262543401,0.0695539725827419,0.0680336051416609,0.0767185354006022,0.717051263739607,0.133924419570199,unlinked,additive,0.9,0.1,esize0.1,noss,nons
82,0.903,0.09,0.507,0.0717208306632069,0.067005939426049,0.0755996436661508,0.0794250616425326,0.744510438067211,0.149111723207398,unlinked,additive,0.9,0.1,esize0.1,noss,nons
83,0.902,0.099,0.481,0.0699562545525445,0.0634790661299825,0.0570445583088612,0.0775568232289851,0.641202688181642,0.118595755319878,unlinked,additive,0.9,0.1,esize0.1,noss,nons
84,0.915,0.107,0.511,0.0679510628230016,0.0707178931258791,0.0816225759086246,0.0742634566371602,0.660914889026908,0.159731068314334,unlinked,additive,0.9,0.1,esize0.1,noss,nons
85,0.907,0.113,0.497,0.0646892099005005,0.0781220917826052,0.071720830663207,0.0713221718858881,0.691345944978807,0.144307506364602,unlinked,additive,0.9,0.1,esize0.1,noss,nons
86,0.895,0.097,0.497,0.081597568991399,0.0650039245283055,0.0731297421277654,0.0911704681468145,0.670143551838201,0.147142338285242,unlinked,additive,0.9,0.1,esize0.1,noss,nons
87,0.921,0.085,0.504,0.0495798675402236,0.0686978002202548,0.0613121820967855,0.0538326466234784,0.808209414355939,0.12165115495394,unlinked,additive,0.9,0.1,esize0.1,noss,nons
88,0.9,0.093,0.496,0.0662401321106836,0.0654731601030342,0.0813408048313529,0.0736001467896484,0.704012474226174,0.163993558127728,unlinked,additive,0.9,0.1,esize0.1,noss,nons
89,0.887,0.097,0.501,0.0720048184328731,0.0702836817360001,0.0724850441998421,0.0811779238251106,0.724574038515464,0.144680726945793,unlinked,additive,0.9,0.1,esize0.1,noss,nons
90,0.907,0.097,0.476,0.0692599362944423,0.064214245987593,0.0764252335719729,0.0763615615153719,0.662002535954567,0.160557213386498,unlinked,additive,0.9,0.1,esize0.1,noss,nons
91,0.91,0.106,0.504,0.0606091526731326,0.0725905486623571,0.0637597531554897,0.0666034644759699,0.68481649681469,0.126507446737083,unlinked,additive,0.9,0.1,esize0.1,noss,nons
92,0.91,0.094,0.502,0.063084006188056,0.0568205194324324,0.066975475255606,0.0693230837231385,0.604473610983323,0.133417281385669,unlinked,additive,0.9,0.1,esize0.1,noss,nons
93,0.919,0.1,0.5,0.0579320502742617,0.0699854212223765,0.0721393209883006,0.063038139580263,0.699854212223765,0.144278641976601,unlinked,additive,0.9,0.1,esize0.1,noss,nons
94,0.888,0.116,0.487,0.0610787380755198,0.0642380775883346,0.0560702911622582,0.0687823626976575,0.553776530933919,0.115134068094986,unlinked,additive,0.9,0.1,esize0.1,noss,nons
95,0.896,0.114,0.489,0.0705951377177476,0.0728711471134677,0.0656909896595338,0.0787892162028433,0.639220588714629,0.134337402166736,unlinked,additive,0.9,0.1,esize0.1,noss,nons
96,0.908,0.123,0.507,0.0751596939312337,0.079031122776707,0.0622781777878209,0.0827749933163367,0.642529453469163,0.122836642579528,unlinked,additive,0.9,0.1,esize0.1,noss,nons
97,0.895,0.107,0.479,0.0640869944461656,0.0749217278639678,0.0639594897300675,0.0716055803867772,0.700203064149232,0.133527118434379,unlinked,additive,0.9,0.1,esize0.1,noss,nons
98,0.9,0.085,0.485,0.0606091526731326,0.0624744845876282,0.0517549169506766,0.0673435029701474,0.734993936325038,0.106711168970467,unlinked,additive,0.9,0.1,esize0.1,noss,nons
99,0.898,0.1,0.501,0.0692230939404898,0.0762648446573665,0.0601783064852158,0.0770858507132403,0.762648446573665,0.120116380210012,unlinked,additive,0.9,0.1,esize0.1,noss,nons
100,0.891,0.115,0.489,0.0682806334033244,0.0723159168975592,0.0828633002638215,0.076633707523372,0.628834059978776,0.169454601766506,unlinked,additive,0.9,0.1,esize0.1,noss,nons
