replicate,p1_mean,p2_mean,h_mean,p1_sd,p2_sd,h_sd,p1_cv,p2_cv,h_cv,linkage,gene_action,p1_af,p2_af,esize,ss,ns
61,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
62,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
63,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
64,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
65,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
66,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
67,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
68,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
69,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
70,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
71,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
72,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
73,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
74,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
75,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
76,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
77,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
78,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
79,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
80,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
81,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
82,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
83,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
84,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
85,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
86,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
87,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
88,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
89,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
90,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
91,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
92,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
93,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
94,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
95,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
96,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
97,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
98,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
99,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
100,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
